state,electoral_vote_cnt,2020_elec_party_res,2020_swing_state
Alabama,9,Red,
Alaska,3,Red,
Arizona,11,Blue,Swing State
Arkansas,6,Red,
California,54,Blue,
Colorado,10,Blue,
Connecticut,7,Blue,
Delaware,3,Blue,
District of Columbia,3,Blue,
Florida,30,Red,Swing State
Georgia,16,Blue,Swing State
Hawaii,4,Blue,
Idaho,4,Red,
Illinois,19,Blue,
Indiana,11,Red,
Iowa,6,Red,
Kansas,6,Red,
Kentucky,8,Red,
Louisiana,8,Red,
Maine,4,Blue,
Maryland,10,Blue,
Massachusetts,11,Blue,
Michigan,15,Blue,Swing State
Minnesota,10,Blue,Swing State
Mississippi,6,Red,
Missouri,10,Red,
Montana,4,Red,
Nebraska,5,Red,
Nevada,6,Blue,Swing State
New Hampshire,4,Blue,
New Jersey,14,Blue,
New Mexico,5,Blue,
New York,28,Blue,
North Carolina,16,Red,Swing State
North Dakota,3,Red,
Ohio,17,Red,Swing State
Oklahoma,7,Red,
Oregon,8,Blue,
Pennsylvania,19,Blue,Swing State
Rhode Island,4,Blue,
South Carolina,9,Red,
South Dakota,3,Red,
Tennessee,11,Red,
Texas,40,Red,
Utah,6,Red,
Vermont,3,Blue,
Virginia,13,Blue,
Washington,12,Blue,
West Virginia,4,Red,
Wisconsin,10,Blue,Swing State
Wyoming,3,Red,
